Review,Processed_Review,keyword_1,common_keywords_all,common_keywords_3_plus,Answer
음 살이 좀 더 찌면 허리가 조여져서 힘들것 같긴 합니다만 뭐 뺄 수 있겠죠,음 살이 좀 더 찌면 허리가 조여져서 힘들 것 같긴 합니다만 뭐 뺄 수 있겠죠,"['조이다', ' 힘들다', ' 수', ' 찌', ' 허리', ' 살', ' 빼다']",,"빼다, 살이, 조이다, 찌, 허리, 힘들다","허리, 조이다"
은은하게 들어가있는 워싱도 마음에들고 흐물흐물거리지 않는 소재의 재질이라 좋아요,은은하게 들어가 있는 워싱도 마음에 들고 흐물흐물 거리지 않는 소재의 재질이라 좋아요,"['소재', ' 재질', ' 워싱']"," 워싱,  재질","거리, 들어가다, 소재, 워싱, 은은하다, 재질, 흐물흐물","워싱, 소재, 재질"
여기 반팔티 진짜 맘에 드네요! 다른 색도 구매하려구요!! ,여기 반팔 티 진짜 맘에 드네요 다른 색도 구매하려고요,['색'],,"색도, 팔","반팔, 티, 색"
워싱티셔츠 자체를 처음 사서 입어봤는데 편하게 입기 좋고 어디든 잘 어울려요!,워싱 티셔츠 자체를 처음 사서 입어봤는데 편하게 입기 좋고 어디든 잘 어울려요,"['편하다', ' 어울리다']", 어울리다,"어울리다, 워싱, 자체, 처음, 티셔츠, 편하다","워싱, 티셔츠, 편하다, 어울리다"
색감 너무 예쁘고 두꼐도 적당해서 자주 손이가는 제품입니다,색감 너무 예쁘고 두께도 적당해서 자주 손이 가는 제품입니다,"['두다', ' 색감', ' 손간다']",,"가다, 두께, 색감, 손, 적당하다, 제품","색감, 두께, 적당하다"
천이 워싱이 잘되어 있어서 십년입어도 멀쩡할거같아요,천이 워싱이 잘되어 있어서 십 년 입어도 멀쩡할 거 같아요,"['천', ' 십년', ' 워싱']",,"되어다, 멀쩡하다, 워싱, 천이","워싱, 멀쩡하다"
여름에 막 입기 좋은 그런 옷입니다. 웬만한 모든 바지와 잘 어울리고 사이즈도 오버한게 좋아요,여름에 막 입기 좋은 그런 옷입니다 웬만한 모든 바지와 잘 어울리고 사이즈도 오버한 게 좋아요,"['여름', ' 사이즈', ' 바지']", 사이즈,"그렇다, 모든, 바지, 사이즈, 어울리다, 여름, 오버","여름, 바지, 어울리다, 사이즈, 오버"
살짝 두껍긴한데 짱짱하고 좋아요 한여름빼고는 잘 입을거 같아요!,살짝 두껍긴 한데 짱짱하고 좋아요 한여름 빼고는 잘 입을 거 같아요,"['한여름', ' 짱짱', ' 두껍다']", 두껍다,"두껍다, 빼다, 짱짱하다, 한여름","두껍다, 짱짱하다"
싼가격에 스타일리시한 제품 잘샀습니다 자주 입을거같아요 ,싼 가격에 스타일리시한 제품 잘 샀습니다 자주 입을 거 같아요,"['제품', ' 싸다가격', ' 스타일리시', ' 주입']",,"가격, 스타일리시, 제품","싸다, 가격, 스타일리시"
원단이 좀 두꺼유ㅓ서 더울수있는데 튼툰해보입니다. 봉제 마감 퀄리티 완벽합니다 소버먼트 최고!,원단이 좀 두거 유서 더울 수 있는데 튼툰해보입니다 봉제 마감 퀄리티 완벽합니다 소버 먼트 최고,"['원단', ' 퀄리티', ' 소버먼트', ' 틀다틀다', ' 두껍다', ' 봉제']"," 봉제,  퀄리티","덥다, 마감, 먼트, 보이다, 봉제, 완벽하다, 원단, 퀄리티, 튼툰","원단, 두껍다, 덥다, 튼튼하다, 마감, 퀄리티, 완벽하다"
S사이즈 주문했는데 오버핏 사이즈 딱이고 빈티지색 이쁘고 좋아요 편하게 입기 좋아요,S사이즈 주문했는데 오버핏 사이즈 딱이고 빈티지 색 이쁘고 좋아요 편하게 입기 좋아요,"['편하다', ' 빈티지색', ' 오버핏', ' S사이즈']", 오버핏,"딱이다, 빈티, 사이즈, 오버핏, 주문, 편하다","사이즈, 오버핏, 빈티지, 편하다"
원단이 상당히 부드럽고 전체적으로 핏도 너무 좋습니다,원단이 상당히 부드럽고 전체적으로 핏도 너무 좋습니다,"['원단', ' 부드럽다', ' 핏']",,"부드럽다, 상당하다, 원단, 전체, 핏","원단, 부드럽다, 핏"
"저는 15일 걸렸는데, 최근 좋은 가격때의 배송이슈 치고는 빨리 받은것 같네요:) 안전배송에 감사드리고 제품 상태도 좋은 편이였어요 정사이즈에 가깝고 간절기 레이어드하기 좋은 아이템이라 만족합니다~✨️",저는 일 걸렸는데 최근 좋은 가격 때의 배송 이슈 치고는 빨리 받은 것 같네요 안전배송에 감사드리고 제품 상태도 좋은 편이였어요 정 사이즈에 가깝고 간절기 레이어드하기 좋은 아이템이라 만족합니다,"['안전배송', ' 간절기', ' 15일', ' 배송', ' 정사이즈']",,"간절기, 감사, 레이어드, 배송, 아이템, 이슈, 펴다","가격, 배송, 빨리, 정사이즈, 간절기, 레이어드"
편안하고 옷핏이 좋아요 가성비로 잘 산 것 같아요!,편안하고 옷 핏대 좋아요 가성비로 잘 산 것 같아요,"['편안', ' 옷핏', ' 가성비']",,"가성비, 편안하다, 핏대","편안하다, 핏, 가성비"
깔끔한 디자인에 퀄리티도 좋아 만족스럽습니다,깔끔한 디자인에 퀄리티도 좋아 만족스럽습니다,"['퀄리티', ' 만족스럽다', ' 깔끔하다', ' 디자인']", 디자인,"깔끔하다, 디자인, 만족스럽다, 퀄리티","깔끔하다, 디자인, 퀄리티, 만족스럽다"
이뻐요 되게 오버핏입니다 다만 지퍼가 너무 불편해요 ㅠ 그리고 모자 각이 조금 안 살긴 하는데 그래도 이쁩ㄴ다ㅕ,이뻐요 되게 오버핏입니다 다만 지퍼가 너무 불편해요 그리고 모자 각이 조금 안 살긴 하는데 그래도 이쁩니다,"['지퍼', ' 오버핏', ' 모자']",,"되게, 모자, 불편하다, 오버핏, 지퍼","오버핏, 지퍼, 불편하다, 모자, 각"
색상이랑 예쁜데 옷 자체가 약간 무게감이 느껴지네요,색상이랑 예쁜데 옷 자체가 약간 무게감이 느껴지네요,"['무게', ' 색상']",,"느껴지다, 무게, 색상, 자체","색상, 무게감"
지퍼 디테일도 너무 이쁘고 피그먼트가 과하지 않아 무난한 빈티지 느낌으오 입을 수 있을 것 같습니다! 다만 좀 무거운 느낌이 있어요,지퍼 디테일도 너무 이쁘고 피그먼트가 과하지 않아 무난한 빈티지 느낌의 오 입을 수 있을 것 같습니다 다만 좀 무거운 느낌이 있어요,"['빈티지', ' 피그먼트', ' 지퍼', ' 디테일', ' 무겁다']", 지퍼,"디테, 무겁다, 무난, 빈티, 지퍼, 피그먼트","지퍼, 디테일, 피그먼트, 무난, 빈티지, 무겁다"
색감과 디자인이 이쁘고 짚업이라 유용합니다. 가격 착하고 세탁후 그대로 유지되고 배송 빨라요. 옷이 조그 무겁지만 만족합니다.,색감과 디자인이 이쁘고 집업이라 유용합니다 가격 착하고 세탁 후 그대로 유지되고 배송 빨라요 옷이 조그 무겁지만 만족합니다,"['세미오버핏', ' 체격', ' 후뚜루마뚜루']",,"디자인, 만족하다, 무겁다, 배송, 색감, 유용하다, 집업, 착하다","색감, 디자인, 집업, 유용하다, 가격, 유지, 배송, 빠르다, 무겁다, 만족하다"
지퍼가 레전드레전드이긴한데 다른건 다 이쁩니다,지퍼가 레전드 레전드이긴 한데 다른 건 다 이쁩니다,"['디자인', ' 모자', ' 차콜색', ' 2지퍼', ' 구게']",,"레전드, 이기다, 지퍼","지퍼, 레전드"
핏도 이쁘고 색감도 괜찮아요 옷은 생각보다 무겁네요,핏도 이쁘고 색감도 괜찮아요 옷은 생각보다 무겁네요,['사이즈넉넉하다'],,"무겁다, 색감, 핏","핏, 색감, 무겁다"
적당한 두께감에 적당한 오버핏이라 데일리하게 입기 너무 좋아요!!,적당한 두께감에 적당한 온 버핏이라 데일리 하게 입기 너무 좋아요,"['원단', ' 코디', ' 도톰', ' 빈티지', ' 스타일']",,"데일리, 두께감, 버핏, 적당하다","적당하다, 두께감, 오버핏, 데일리"
기본적으로 하나씩은 가지고 있어야할 아이템~ 어디에나 무난하게  어울려서 좋와요 색이 빠질수록 더 좋음 번창하세요,기본적으로 하나씩은 가지고 있어야 할 아이템 어디에나 무난하게 어울려서 좋아요 색이 빠질수록 더 좋음 번창하세요,"['나이스', ' 여름', ' 겨울', ' 사버리다']",,"가지, 기본, 무난, 번창, 빠지다, 아이템, 어울리다, 하나","기본, 아이템, 무난, 어울리다"
오버핏에 멋스러운 스타일이에요. 약간 빈티지한 색감도 좋아요. 스타일도 멋스러워요,온 버핏에 멋스러운 스타일이에요 약간 빈티지한 색감도 좋아요 스타일도 멋스러워요,"['워싱정', ' 데일리']",,"멋, 버핏, 빈티, 색감, 스러운, 스럽다, 스타일","오버핏, 스타일, 빈티지, 색감"
"178/58

멸치에게 L사이즈 사면 혹여나 너무 크지 않을까? 조금 걱정했지만 허리도 딱 맞도 버뮤다팬츠로써 딱 예쁜 핏 나와서 너무 마음에 들어요

키가 저랑 비슷하다면 사이즈 L로 가시길 추천 합니다.",멸치에게 L 사이즈 사면 혹여나 너무 크지 않을까 조금 걱정했지만 허리도 딱 맞도 버뮤다팬츠로써 딱 예쁜 핏 나와서 너무 마음에 들어요 키가 저랑 비슷하다면 사이즈 L로 가시길 추천합니다,"['여기저기', ' 봄여름가을', ' 핏']",,"갈다, 걱정, 나오다, 맞다, 멸치, 사이즈, 추천, 허리","멸치, 사이즈, 허리, 맞다, 버뮤다, 팬츠, 핏, L"
바다에 빠지는 바람에 모양새가 이쁘진않지만 기장이 적당히 길어서 핏이 너무 예뻐요 처음에 배송왔을때는 잘산건가 싶었는ㄷㅔ 입고보니까 너무 좋아서 교복마냥 입고 있습니다 굿,바다에 빠지는 바람에 모양새가 이쁘진 않지만 기장이 적당히 길어서 핏이 너무 예뻐요 처음에 배송 왔을 때는 잘 산 건가 싶은 입고 보니까 너무 좋아서 교복처럼 입고 있습니다 굿,"['스타일', ' 반바지']",,"건가, 교복, 바다, 바람, 배송, 처럼, 처음","기장, 길다, 핏, 교복"
"여름에 더워서 청바지나 데님팬츠 같은 긴바지를 못 입어서 걱정 했는데 딱 이바지를 발견해서 바로 주문 했는데 4일안에 오더라고요. 입었는데 진짜 여름 인생바지 감탄 나온만큼 핏도 이쁘고 사이즈도 적당합니다.결론부터 말하자면 그냥 최고입니다. 제 반바지중에 top1에 드만큼 정물 최고입니다.두깨감은 다른 반바지에 비해 좀 두꺼운편이지만 덥다는 느낌 전혀 안들어요. 가끔 이바지 입고 축구나 농구도 하러 다닙니다. 제가 허박지가 좀 두꺼워서 다른 반바지를 입으면 좀 다리가 통통해 보이는데 이바지는 오버핏으러 나와서 이점을 해결해줘서 너무 좋습니다. 진짜 길이 완벽,통 완벽,디자인도 무난해서 어느 코디든 다 잘 어울립니다.재질이 좋아서 세탁 많이 해도 늘어나지 않고 처음 배송 온것처럼 똑같습니다.진짜 여름 인생 반바지네요.",여름에 더워서 청바지나 데님 팬츠 같은 긴 바지를 못 입어서 걱정했는데 딱 이바지를 발견해서 바로 주문했는데 일안에 오더라고요 입었는데 진짜 여름 인생 바지 감탄 나온 만큼 핏도 이쁘고 사이즈도 적당합니다 결론부터 말하자면 그냥 최고입니다 제 반바지 중에 top에 그만큼 정물 최고입니다두깨감은 다른 반바지에 비해 좀 두꺼운 편이지만 덥다는 느낌 전혀 안 들어요 가끔 이바지 입고 축구나 농구도 하러 다닙니다 제가 호박지가 좀 두꺼워서 다른 반바지를 입으면 좀 다리가 통통해 보이는데 이바지는 오버핏으러 나와서 이점을 해결해 줘서 너무 좋습니다 진짜 길이 완벽 통 완벽 디자인도 무난해서 어느 코디든 다 잘 어울립니다 재질이 좋아서 세탁 많이 해도 늘어나지 않고 처음 배송 온 것처럼 똑같습니다 진짜 여름 인생 반바지네요,"['보들보들', ' 밴딩', ' 허리', ' 귀엽다']",,"덥다, 반바지, 이바지, 인생","여름, 바지, 핏, 사이즈, 최고, 적당하다, 두께감, 두껍다, 오버핏, 길이, 통, 디자인, 무난하다, 어울리다, 재질, 세탁, 인생, 반바지, 배송"
키 작고 다리가 굵어서 안 어울려요!! 근데 바지는 이쁨,키 작고 다리가 굵어서 안 어울려요 근데 바지는 이쁨,"['원한', ' 친구', ' 바지', ' 반바지']", 바지,"굵다, 다리, 바지, 어울리다, 작고","키, 작다, 다리, 굵다, 바지"
좋습니다 핏도 이쁘고 맘에들어요 추천합니당.!! 좋아요오오,좋습니다 핏도 이쁘고 맘에 들어요 추천합니다 좋아요 오 오,"['편', ' 데일리', ' 핏']",,"추천, 핏","핏, 추천"
생각보다 두툼한데 오히려 좋아요!! 기장도 적당하고 잘입고 다닐거 같아용,생각보다 두툼한데 오히려 좋아요 기장도 적당하고 잘 입고 다닐 거 같아요,"['사이즈', ' 고민', ' 사세용', ' 귀엽다']",,"기장, 두툼, 적당하다","두툼하다, 기장, 적당하다"
사이즈도 잘 맞고 반바지라 시원하고 활동성 좋고 편해요 교복처럼 입고 있어요,사이즈도 잘 맞고 반바지라 시원하고 활동성 좋고 편해요 교복처럼 입고 있어요,"['s', ' 덮다', ' 무릎', ' m', ' 기장']",,"교복, 맞다, 반바지, 사이즈, 시원하다, 처럼, 편하다, 활동","사이즈, 맞다, 반바지, 시원하다, 활동성, 편하다, 교복"
재질도 괜찮고 여름에 편하게 잘 입을 거 같아요 기본템으로 조아효,재질도 괜찮고 여름에 편하게 잘 입을 거 같아요 기본 템으로 좋아요,"['편하다', ' 허리', ' 무릎', ' 길이감', ' 통']",,"기본, 여름, 재질, 편하다","재질, 여름, 편하다, 기본"
이런 스타일의 바지를 입어보고 싶어서 구매 했는데 너무 마음에 들었고요 약간 두꺼운 느낌이 있어서 한여름에는 입기에 더울것 같아요 몇번 빨았는데도 보풀이 안일어나는걸 보니 재질이 좋은것 같아요 근데 약간 무개감이 있어요 위에 상의를 오버핏으로 입으면 귀엽더라구요 특히 후드티를 입으면 짱이쁨니다,이런 스타일의 바지를 입어보고 싶어서 구매했는데 너무 마음에 들었고요 약간 두꺼운 느낌이 있어서 한여름에는 입기에 더울 것 같아요 몇 번 빨았는데도 보풀이 안 일어나는 걸 보니 재질이 좋은 것 같아요 근데 약간 무게감이 있어요 위에 상의를 온 버핏으로 입으면 귀엽더라고요 특히 후드티를 입으면 짱 이쁩니다,"['티', ' 오버핏', ' 바지', ' 핏']",,"무게, 바지, 보풀, 상의, 이렇다, 일어나다","스타일, 바지, 두껍다, 덥다, 재질, 무게"
"요즘같은 날씨, 더위때문에 편하지만 포인트를 줄 수 있는 코디로 연출해봤습니다. 번외코디로 오버핏 반팔과 긴 발목양말을 같이 신으면 농구선수같은 느낌으로 귀엽게 입을 수도 있어요!",요즘 같은 날씨 더위 때문에 편하지만 포인트를 줄 수 있는 코디로 연출해 봤습니다 번외 코디로 오버핏 반팔과 긴 발목 양말을 같이 신으면 농구선수 같은 느낌으로 귀엽게 입을 수도 있어요,"['기대하다', ' 아쉽다', ' 굳이', ' 짱짱']",,"선수, 신다, 팔, 편하다, 포인트","날씨, 더위, 편하다, 포인트, 코디, 귀엽다"
"편해보이고 품질도 좋아보입니다!
사알짝 두꺼운것같긴하지만 괜찮은 정도인 것 같습니다.",편해 보이고 품질도 좋아 보입니다 살짝 두꺼운 것 같긴 하지만 괜찮은 정도인 것 같습니다,"['금쪽', ' 선물', ' 좋아하다']",,"두껍다, 보이, 보이다, 편하다, 품질","편하다, 품질, 두껍다"
여름에 입기 좋아여! 안에 매쉬가 있어 땀도 잘 마를듯,여름에 입기 좋아요 안에 매시가 있어 땀도 잘 마를 듯,"['재질', ' 여름', ' 친구', ' 바지']",,"땀, 마르다, 매다, 여름","여름, 매쉬"
너무 이뻐요 제가 생각하던 핏이에요! 여름에 많이 입을듯요 ㅎㅎ,너무 이뻐요 제가 생각하던 핏이에요 여름에 많이 입을 듯요,"['마르다멸치', ' 반바지', ' 버뮤다팬츠']",,"여름, 핏","핏, 여름"
저는 목쪽이 살짝 붕 뜨네요.. 왜이러지.. 이 부분은 아쉽지만 이뻐요,저는 목 쪽이 살짝 붕 뜨네요 왜 이러지 이 부분은 아쉽지만 이뻐요,"['목', ' 아쉽다', ' 붕뜨', ' 부분']", 부분,"부분, 아쉽다, 이르다, 쪽","목, 뜨다, 아쉽다"
프린팅에 매혹되어 그냥 바로 구매하게 되었습니다. 티의 두께는 얇은편이지만 비침이 없구 부드러운 소재입니다. 목의 시보리가 살짝 약해보이고 실제로 빨았을때 조금 늘어나는 부분이 있었습니다. 하지만 프린팅이 정말 예쁘고 여자친구가 탐내하는 티입니다. 강추 개추 드리겠습니다.,프린팅에 매혹되어 그냥 바로 구매하게 되었습니다 티의 두께는 얇은 편이지만 비침이 없고 부드러운 소재입니다 목의 시보리가 살짝 약해 보이고 실제로 빨았을 때 조금 늘어나는 부분이 있었습니다 하지만 프린팅이 정말 예쁘고 여자친구가 탐내하는 티입니다 강추 개추 드리겠습니다,"['시보리', ' 소재', ' 강추', ' 개추', ' 목', ' 티', ' 프린팅', ' 비치', ' 늘어나다']"," 강추,  소재","강추, 개추, 목, 부드럽다, 소재, 티, 편이, 프린팅","프린팅, 두께, 얇다, 비침이 없다, 부드럽다, 소재, 시보리, 늘어나다, 티, 강추"
166 여성인데 s 주문해도 살짝 커요. 그래도 오버핏으로 생각하고 입으려구용! 너무 예쁘걸랑요,여성인데 s 주문해도 살짝 커요 그래도 온 버핏으로 생각하고 입으려구요 너무 예쁘걸랑요,"['오버핏', ' s', ' 여성']",,"구, 버핏, 여성, 주문, 크다","s, 여성, 크다, 오버핏"
평범한 면티지만 이쁩니다~ 맘에 쏙 듭니다. 잘 입겠습니다^^,평범한 면 티지만 이쁩니다 맘에 쏙 듭니다 잘 입겠습니다,"['자다', ' 쏙', ' 평범하다', ' 면티', ' 듭니']",,평범하다,"평범하다, 면, 티"
옷 질이 좋고 프린팅이 이뻐서 만족 합니다 가격도 나름 싸고 좋은 거 같아요,옷 질이 좋고 프린팅이 이뻐서 만족합니다 가격도 나름 싸고 좋은 거 같아요,"['가격', ' 프린팅', ' 질', ' 싸움']", 프린팅,"가격, 나름, 만족하다, 싸다, 질, 프린팅","질, 프린팅, 만족하다, 가격, 싸다"
메종미네드 정말 좋아하는데 프린팅 너무 예쁘게 나와서 좋네요 강추합니다,메종미네드 정말 좋아하는데 프린팅 너무 예쁘게 나와서 좋네요 강추합니다,"['프린팅', ' 메종미네드']",,"강추, 나오다, 메종, 미네, 좋아하다, 프린팅","프린팅, 강추"
제품이 마음에 들어요 색상과 디자인도 마음에 듭니다. 사업 번창 하세요,제품이 마음에 들어요 색상과 디자인도 마음에 듭니다 사업 번창하세요,"['사업', ' 색상', ' 디자인']"," 색상,  디자인","디자인, 번창, 사업, 색상, 제품","색상, 디자인"
옷 대박 예뻐요 적당히 꾸민 느낌이라 손 자주가는 티 중에 하나~,옷 대박 예뻐요 적당히 꾸민 느낌이라 손 자주 가는 티 중에 하나,"['하나', ' 적당하다', ' 중', ' 손', ' 티', ' 꾸미다', ' 가다', ' 대박']"," 꾸미다,  가다","가다, 꾸미다, 대박, 적당하다, 중, 하나","적당하다, 꾸미다, 티"
버뮤다랑 데님에 입기 좋습니다!! 로고가 너무 예뻐서 계속 입고 싶어요!!,버뮤다랑 데님에 입기 좋습니다 로고가 너무 예뻐서 계속 입고 싶어요,"['로고', ' 데님', ' 버뮤다']",,"계속, 데님, 로고, 버뮤다","버뮤다, 데님, 로고"
너무 많이 입고다녀서 그냥 잠옷으로 입고있습니다 홈플러스만 가도 두 명씩은 마주침,너무 많이 입고 다녀서 그냥 잠옷으로 입고 있습니다 홈플러스만 가도 두 명씩은 마주침,"['홈플러스', ' 잠옷']",,"가도, 그냥, 마주치다, 명, 잠옷, 홈플러스",잠옷
이뻐요 그냥 사세요 로고가 포인트주기 참 좋습니다,이뻐요 그냥 사세요 로고가 포인트 주기 참 좋습니다,"['로고', ' 포인트']",,"그냥, 로고, 주기, 포인트","로고, 포인트"
너무 얇은 느낌인지라 몇 번 빨고 나니 핏을 유지하는 느낌이 많이 사라졌습니다,너무 얇은 느낌인지라 몇 번 빨고 나니 핏을 유지하는 느낌이 많이 사라졌습니다,"['얇다', ' 핏']",,"나니, 사라지다, 얇다, 유지, 인지, 핏","얇다, 핏, 사라지다"
사이즈도 적당하게 맞고 핏도 좋아요 예뻐서 자주 입어요,사이즈도 적당하게 맞고 핏도 좋아요 예뻐서 자주 입어요,"['사이즈', ' 핏']",,"맞다, 사이즈, 적당하다, 핏","사이즈, 적당하다, 맞다, 핏"
재질 이빠이 좋고 진짜 얇아서 가볍고 이쁘고 완벽해요..,재질 가득 좋고 진짜 얇아서 가볍고 이쁘고 완벽해요,"['가볍다', ' 얇다', ' 재질', ' 완벽하다']"," 얇다,  재질","가득, 가볍다, 얇다, 완벽하다, 재질","재질, 얇다, 가볍다, 완벽하다"
그래픽이 상당히 이쁘고 핏도 좋습니다 두꼐감은 그렇게 두껍진 않아서 더울거 같진 않습니다.,그래픽이 상당히 이쁘고 핏도 좋습니다 두께감은 그렇게 두껍진 않아서 더울 거 같진 않습니다,"['두께감', ' 그래픽', ' 핏']",,"그래픽, 그렇게, 덥다, 두껍다, 두께감, 상당하다, 핏","그래픽, 핏, 두께감, 두껍지 않다"
디자인이 마음에 들어요 외출할때 입기 좋을것 같아요,디자인이 마음에 들어요 외출할 때 입기 좋을 것 같아요,"['디자인', ' 외출']",,"디자인, 외출","디자인, 외출"
"색감 사진과 같이 흐리멍텅한 느낌 너무 좋고, 로고 너무 디테일 해서 좋아요. 사이즈 정 사이즈인갓 같고 두께감 좋아서 시원해요",색감 사진과 같이 흐리멍덩한 느낌 너무 좋고 로고 너무 디테일해서 좋아요 사이즈 정 사이즈인 갓 같고 두께감 좋아서 시원해요,"['시원', ' 색감', ' 로고', ' 사진', ' 두껍다', ' 사이즈', ' 정사이즈', ' 흐리다', ' 디테일', ' 멍텅']"," 사진,  사이즈","디테, 로고, 멍덩, 사이즈, 사진, 색감, 시원하다, 흐리다","색감, 로고, 디테일, 정사이즈, 두께감, 시원하다"
진짜 이뻐요! 앞 프린팅과 뒤에 텍이 바깥으로 나온 디테일이 간지네요,진짜 이뻐요 앞 프린팅과 뒤에 텍이 바깥으로 나온 디테일이 간지네요,"['프린팅', ' 디테일']",,"간지, 나오다, 뒤, 디테, 바깥, 일이, 텍, 프린팅","프린팅, 텍, 디테일, 간지"
믿고 사는 브라운브레스 기본티 입니다. 레터링 티셔츠의 정석이죠!,믿고 사는 브라운브레스 기본 티입니다 레터링 티셔츠의 정석이죠,"['브라운브레스', ' 레터링', ' 기본티']",,"기본, 레터, 믿다, 브라운, 브레스, 살다, 정석, 티, 티셔츠","기본, 티셔츠, 레터링"
커플티로 입었는데 예뻤어요 ! 사이즈는 m하니까 딱 맞았고 생각보다 얇긴한데 여름애 시원하게 입기 좋았습니다,커플티로 입었는데 예뻤어요 사이즈는 m 하니까 딱 맞았고 생각보다 얇긴 한데 여름에 시원하게 입기 좋았습니다,"['여름', ' 사이즈', ' 커플티', ' m']",,"맞다, 사이즈, 시원하다, 얇다, 여름, 커플티","커플, 티, 사이즈, 맞다, 얇다, 여름, 시원하다"
제가 말랐는데도 이쁘고 여름에 입기 딱좋은거같아요,제가 말랐는데도 이쁘고 여름에 입기 딱 좋은 거 같아요,"['여름', ' 말르다']",,"마르다, 여름","마르다, 여름"
옷 너무 예쁘고 다음에도 이 브랜드에서 살거같아요,옷 너무 예쁘고 다음에도 이 브랜드에서 살 거 같아요,['브랜드'],브랜드,브랜드,브랜드
재질도 탄탄하고 무난하게 예뻐서 자주 입을 것 같아욤,재질도 탄탄하고 무난하게 예뻐서 자주 입을 것 같아요,['재질'],,"무난, 재질, 탄탄하다","재질, 탄탄하다, 무난하다"
목이 좁아서 좀 늘어나요 근데 세일할 때 사서 만족하면서 입고 있습니다,목이 좁아서 좀 늘어나요 근데 세일할 때 사서 만족하면서 입고 있습니다,"['만족', ' 줄어들다', ' 판매', ' 목', ' 넓다']",,"늘어나다, 만족하다, 목, 사서, 세일, 좁다","목, 좁다, 늘어나다, 세일, 만족하다"
흰색 검정색 두게 샀어요 번걸아가면서 잘 입을게요,흰색 검은색 두게 샀어요 번 걸 안 가면서 잘 입을게요,"['두다', ' 흰색', ' 번걸', ' 자다', ' 검정색']", 흰색,"가면, 검은색, 두다, 흰색","흰색, 검은색"
오버핏 티셔츠를 사고 싶었는데 때마침 1+1 행사를 하길래 구매해봤어요 두께는 얇지는 않고 그냥 딱 좋아여 사이즈는 좀 크니까 여성분들은 s추천합니다,오버핏 티셔츠를 사고 싶었는데 때마침 행사를 하길래 구매해 봤어요 두께는 얇지는 않고 그냥 딱 좋아요 사이즈는 좀 크니까 여성분들은 s 추천합니다,"['얇다', ' 행사', ' 11', ' 티셔츠', ' 여성분', ' s', ' 사이즈', ' 두께', ' 오버핏']",,"그냥, 두께, 분들, 사고, 사이즈, 여성, 오버핏, 추천, 티셔츠, 행사","오버핏, 티셔츠, 두께, 얇지 않다, 사이즈, 크다, 여성, s, 추천"
면이 일반 티 보다 두꺼워서 한여름엔 입지 마세융 옷 변형도 잘 안 되서 좋구염 남찡구랑 커플로 맞췃는데 조아용,면이 일반 티 보다 두꺼워서 한여름엔 입지 마세유 옷 변형도 잘 안돼서 좋고요 남찡구랑 커플로 맞췄는데 좋아요,"['변형', ' 남찡구', ' 커플', ' 티']", 커플,"일반, 입지, 커플, 한여름","면, 티, 두껍다, 변형이 안되다, 커플"
사이즈도 딱 맞고 심플해서 어떤 옷이랑 입어도 잘 어울릴 것 같아요,사이즈도 딱 맞고 심플해서 어떤 옷이랑 입어도 잘 어울릴 것 같아요,"['사이즈', ' 심플']",,"맞다, 사이즈, 심플, 어떻다, 어울리다","사이즈, 맞다, 심플하다, 어울리다"
시원하고 정사이즈네요! 오버핏 하게 살껄 그랬나 싶기도 하고 얇아서 흰색은 비치다보니 패치 붙이고 입고 있습니다,시원하고 정 사이즈네요 오버핏 하게 살걸 그랬나 싶기도 하고 얇아서 흰색은 비치다 보니 패치 붙이고 입고 있습니다,"['얇다', ' 시원', ' 패치', ' 흰색', ' 정사이즈', ' 오버핏']",,"비치, 사이즈, 살걸, 시원하다, 얇다, 오버핏, 패치, 흰색","시원하다, 정사이즈, 얇다, 비치다"
"예일 옷은 처음이엇는데, 실측 사이즈 열심히 재보고 삿습니다. 꼼꼼하게 챙겨서 그런지 사이즈 너무 좋앗어요.  거기에 옷의 재질 디자인, 두께감 모두 너무 만족합니다. 또 사고 싶어요!",예일 옷은 처음이었는데 실측 사이즈 열심히 재보고 샀습니다 꼼꼼하게 챙겨서 그런지 사이즈 너무 좋았어요 거기에 옷의 재질 디자인 두께감 모두 너무 만족합니다 또 사고 싶어요,"['예일', ' 디자인', ' 재질', ' 사이즈', ' 두께감']",,"거기, 그렇다, 두께감, 디자인, 사고, 사이즈, 실측, 재질, 챙기다","사이즈, 재질, 디자인, 두께감, 만족하다"
어디에 코디해도 무난합니다 두께는 보통 할인에 잘샀네여,어디에 코디해도 무난합니다 두께는 보통 할인에 잘 샀네요,"['두께', ' 코디', ' 할인']",,"두께, 무난, 보통, 코디, 할인","코디, 무난, 두께, 보통, 할인"
로고가 작아서 부담스럽지 않고 가격도 저렴해서 매우 마음에 들어요!,로고가 작아서 부담스럽지 않고 가격도 저렴해서 매우 마음에 들어요,"['가격', ' 로고', ' 저렴']", 로고,"가격, 로고, 부담, 작다, 저렴하다","로고, 작다, 가격, 저렴"
예일은 역시 두께감이 만족스러워요! 예일 반팔티는 진짜 면이 인정입니다!,예일은 역시 두께감이 만족스러워요 예일 반팔 티는 진짜 면이 인정입니다,"['인정', ' 두께감']", 두께감,"두께감, 만족스럽다, 예일, 인정, 티, 팔","두께감, 만족스럽다, 반팔, 티, 면, 인정"
