Review,keyword_1,keyword_2,keyword_3,keyword_4,common_keywords_all,common_keywords_3_plus,Answer
소재도 부드럽고 시원해서 좋아요! 비침 없는 탄탄한 면인데도 시원한 게 신기하네요! 조금 짧은 느낌은 있지만 키 164인 제가 단독으로 입기에 무리 없는 길이였습니다!,"['신기하다', '비침', '부드럽다', '시원하다', '짧다', '무리', '키', '탄탄하다', '소재', '단독', '길이']","['시원하다', '신기하다', '시원하다', '부드럽다', '무리', '소재', '단독', '키']","['소재', '부드럽다', '짧다', '탄탄하다', '길이', '신기하다']","['시원하다', '없다', '무리', '부드럽다', '신기하다', '단독', '인데', '소재', '비침', '길이']"," 신기하다,  부드럽다","신기하다,   부드럽다,   시원하다,   소재,   무리,   단독,   길이","신기하다, 부드럽다, 시원하다, 소재, 단독, 길이"
"두겹이라 비치지도 않고
완전 탄탄합니다
올해 원피스중 제일 이쁜듯요
너무 맘에 들어서 세칼라 구매했습니다🥰","['탄탄', '칼라', '들어서다', '올해', '원피스', '겹', '세']","['원피스', '겹', '들어서다', '비치다', '탄탄하다', '올해', '제일', '칼라']","['올해', '겹', '비치다', '원피스']","['제일', '올해', '칼라', '비치다', '들어서다', '원피스', '탄탄하다']",,"올해,   원피스,   칼라,   들어서다,   겹,   비치다","비치지 않다, 탄탄하다, 원피스, 칼라"
핏 진짜 너무 예뻐요 완전 인생 원피스예요!! 사진찍으면 밝아서 넘 예쁘게나와요,"['밝다', '핏', '사진', '원피스']","['나오다', '인생', '사진', '찍다', '원피스']","['밝다', '찍다', '나오다', '원피스', '사진']","['찍다', '밝다', '인생', '사진', '나오다', '원피스']"," 원피스,  사진","사진,   원피스,   밝다,   나오다,   찍다","사진, 원피스, 밝다, 인생, 핏"
생각보다 펄럭거려서 좀 유치하긴 하지만 마음에 들어요,"['유치하다', '펄럭거리다']","['펄럭거리다', '유치하다']","['유치하다', '펄럭거리다']","['펄럭거리다', '유치하다']",,"유치하다,   펄럭거리다","유치하다, 펄럭거리다"
음 살이 좀 더 찌면 허리가 조여져서 힘들것 같긴 합니다만 뭐 뺄 수 있겠죠,"['조이', '허리', '살', '찌', '힘들다', '빼다']","['허리', '조이다', '살이', '힘들다', '찌']","['조이다', '살이', '허리', '찌', '힘들다']","['힘들다', '살이', '조이다', '빼다', '허리']",,"허리,   힘들다,   찌,   조이다,   살이","허리, 조이다, 힘들다"
은은하게 들어가있는 워싱도 마음에들고 흐물흐물거리지 않는 소재의 재질이라 좋아요,"['워싱', '재질', '소재']","['소재', '은은하다', '재질', '거리', '들어가다', '워싱', '흐물흐물']","['소재', '재질', '워싱', '거리', '지', '은은하다', '흐물흐물', '들어가다']","['거리', '흐물흐물', '은은하다', '들어가다', '소재', '워싱', '재질']"," 워싱,  재질","워싱,   재질,   소재,   은은하다,   거리,   들어가다,   흐물흐물","워싱, 소재, 재질, 은은하다"
여기 반팔티 진짜 맘에 드네요! 다른 색도 구매하려구요!! ,"['팔', '티']","['색도', '팔']","['색도', '팔']",['색도'],,"팔,   색도","반팔, 티, 색"
워싱티셔츠 자체를 처음 사서 입어봤는데 편하게 입기 좋고 어디든 잘 어울려요!,"['워싱', '티셔츠']","['티셔츠', '어울리다', '편하다', '자체', '워싱', '사서', '처음']","['입어보다', '어울리다', '편하다', '티셔츠', '워싱', '자체', '처음']","['사서', '입어보다', '자체', '처음', '어울리다', '티셔츠', '워싱', '편하다']", 어울리다,"워싱,   티셔츠,   어울리다,   편하다,   자체,   처음","워싱, 티셔츠, 편하다, 어울리다, 처음"
색감 너무 예쁘고 두꼐도 적당해서 자주 손이가는 제품입니다,"['두께', '가다', '제품', '손', '적당하다', '색감']","['제품', '적당하다', '색감', '가다', '손', '두께']","['색감', '제품', '손', '두께', '적당하다', '가다']","['제품', '가다', '두께', '적당하다', '색감']",,"두께,   가다,   제품,   적당하다,   색감,   손","색감, 두께, 적당하다, 제품"
천이 워싱이 잘되어 있어서 십년입어도 멀쩡할거같아요,"['멀쩡', '워싱']","['워싱', '천이', '되어다', '멀쩡하다']","['멀쩡하다', '되어다', '워싱', '천이']","['멀쩡하다', '천이', '되어다', '워싱']",,"워싱,   천이,   되어다,   멀쩡하다","워싱, 멀쩡하다"
여름에 막 입기 좋은 그런 옷입니다. 웬만한 모든 바지와 잘 어울리고 사이즈도 오버한게 좋아요,"['막', '그렇다', '오버', '사이즈', '여름', '바지']","['어울리다', '사이즈', '오버', '그렇다', '바지', '모든', '여름']","['바지', '웬만하다', '여름', '그렇다', '오버', '어울리다', '사이즈']","['웬만하다', '모든', '그렇다', '바지', '어울리다', '오버', '여름', '사이즈']", 사이즈,"그렇다,   오버,   사이즈,   여름,   바지,   어울리다","여름, 바지, 어울리다, 사이즈, 오버"
살짝 두껍긴한데 짱짱하고 좋아요 한여름빼고는 잘 입을거 같아요!,"['짱짱하다', '빼다', '두껍다', '한여름']","['한여름', '짱짱하다', '빼다', '두껍다']","['짱짱하다', '빼다', '두껍다', '한여름']","['빼다', '한여름', '짱짱하다', '두껍다']", 두껍다,"짱짱하다,   빼다,   두껍다,   한여름","두껍다, 짱짱하다, 한여름, 빼다"
싼가격에 스타일리시한 제품 잘샀습니다 자주 입을거같아요 ,"['제품', '스타일리시', '가격']","['스타일리시', '가격', '제품']","['스타일리시', '가격', '제품']","['스타일리시', '싸다', '제품', '가격']",,"제품,   스타일리시,   가격","제품, 스타일리시, 가격"
원단이 좀 두꺼유ㅓ서 더울수있는데 튼툰해보입니다. 봉제 마감 퀄리티 완벽합니다 소버먼트 최고!,[''],"['튼툰보이다', '완벽하다', '원단', '퀄리티', '먼트', '유서', '덥다', '봉제', '마감']","['최고', '완벽하다', '퀄리티', '덥다', '마감', '튼툰', '보이다', '먼트', '봉제']","['유서', '튼툰', '완벽하다', '봉제', '마감', '퀄리티', '보이다', '최고', '덥다', '원단']"," 봉제,  퀄리티","완벽하다,   퀄리티,   덥다,   봉제,   마감","완벽하다, 퀄리티, 덥다, 두껍다, 튼튼하다, 봉제, 마감"
S사이즈 주문했는데 오버핏 사이즈 딱이고 빈티지색 이쁘고 좋아요 편하게 입기 좋아요,"['오버핏', '편하다', '빈티지', 's사이즈', '색']","['사이즈', '사이즈', '빈티', '편하다', '주문', '오버핏', '딱이다']","['딱이다', '오버핏', '편하다', '주문', '사이즈', 's', '빈티', '지']","['사이즈', '딱이다', '오버핏', '주문', '빈티', '편하다']", 오버핏,"오버핏,   편하다,   사이즈,   빈티,   주문,   딱이다","오버핏, 편하다, 사이즈, 빈티지, 주문"
원단이 상당히 부드럽고 전체적으로 핏도 너무 좋습니다,"['부드럽다', '핏']","['전체', '상당하다', '부드럽다', '원단', '핏']","['부드럽다', '상당하다', '전체', '핏', '원단']","['상당하다', '전체', '부드럽다', '원단']",,"부드럽다,   핏,   전체,   상당하다,   원단","부드럽다, 핏, 원단"
"저는 15일 걸렸는데, 최근 좋은 가격때의 배송이슈 치고는 빨리 받은것 같네요:) 안전배송에 감사드리고 제품 상태도 좋은 편이였어요 정사이즈에 가깝고 간절기 레이어드하기 좋은 아이템이라 만족합니다~✨️","['안전배송', '사이즈', '배송', '레이어드', '제품', '간절기', '정', '일']","['만족하다', '레이어드', '간절기', '안전배송', '사이즈', '아이템', '이슈', '감사드리다']","['안전', '배송', '만족하다', '제품', '아이템', '감사', '드리다', '빨리', '받다', '펴다']","['치고는', '최근', '이슈', '안전', '레이어드', '감사', '상태', '펴다', '배송', '가깝다']",,"배송,   레이어드","배송, 레이어드"
편안하고 옷핏이 좋아요 가성비로 잘 산 것 같아요!,"['가성비', '핏대', '편안']","['편안하다', '가성비', '핏대']","['가성비', '편안하다', '핏대']","['핏대', '편안하다', '가성비']",,"가성비,   핏대,   편안하다","편안하다, 핏, 가성비"
깔끔한 디자인에 퀄리티도 좋아 만족스럽습니다,"['깔끔하다', '퀄리티', '디자인', '만족스럽다']","['만족스럽다', '퀄리티', '디자인', '깔끔하다']","['깔끔하다', '퀄리티', '만족스럽다', '디자인']","['만족스럽다', '깔끔하다', '퀄리티', '디자인']", 디자인,"깔끔하다,   퀄리티,   디자인,   만족스럽다","깔끔하다, 퀄리티, 디자인, 만족스럽다"
이뻐요 되게 오버핏입니다 다만 지퍼가 너무 불편해요 ㅠ 그리고 모자 각이 조금 안 살긴 하는데 그래도 이쁩ㄴ다ㅕ,"['오버핏', '불편', '살', '지퍼', '모자']","['지퍼', '모자', '살다', '불편하다']","['불편하다', '되게', '지퍼', '오버핏']","['살다', '되게', '불편하다', '오버핏', '모자', '지퍼']",,"지퍼,   오버핏,   모자,   불편하다","지퍼, 오버핏, 모자, 불편하다"
색상이랑 예쁜데 옷 자체가 약간 무게감이 느껴지네요,"['색상', '무게']","['색상', '무게', '자체', '느껴지다']","['느껴지다', '색상', '무게', '자체']","['느껴지다', '자체', '무게', '색상']",,"색상,   무게,   자체,   느껴지다","색상, 무게감, 느껴지다"
지퍼 디테일도 너무 이쁘고 피그먼트가 과하지 않아 무난한 빈티지 느낌으오 입을 수 있을 것 같습니다! 다만 좀 무거운 느낌이 있어요,"['무겁다', '빈티지', '지퍼', '무난', '디테일', '피그먼트']","['피그먼트', '무겁다', '디테일도', '빈티', '무난', '지퍼']","['피그먼트', '디테', '일도', '지퍼']","['일도', '디테', '무난', '빈티', '피그먼트', '무겁다', '지퍼']", 지퍼,"지퍼,   피그먼트,   무겁다,   무난","지퍼, 디테일, 피그먼트, 무난, 무겁다"
색감과 디자인이 이쁘고 짚업이라 유용합니다. 가격 착하고 세탁후 그대로 유지되고 배송 빨라요. 옷이 조그 무겁지만 만족합니다.,"['집업', '가격', '디자인', '세탁', '빠르다', '무겁다', '유지', '유용하다', '배송', '착하다', '그대로', '후', '만족하다', '색감', '조']","['만족하다', '유용하다', '무겁다', '색감', '디자인', '착하다', '집업', '가격', '배송']","['세탁', '유용하다', '색감', '착하다', '만족하다', '디자인', '집업', '배송', '무겁다']","['유지', '유용하다', '착하다', '그대로', '세탁', '만족하다', '빠르다', '무겁다', '디자인', '집업']",,"집업,   디자인,   무겁다,   유용하다,   착하다,   만족하다,   세탁,   배송,   색감","집업, 디자인, 무겁다, 유용하다, 가격, 착하다, 만족하다, 세탁, 배송, 색감, 빠르다"
지퍼가 레전드레전드이긴한데 다른건 다 이쁩니다,"['레전드', '지퍼']","['레전드이기다', '레전드', '지퍼']","['레전드', '이기다', '지퍼']","['레전드', '이기다', '지퍼']",,"레전드,   지퍼","레전드, 지퍼"
핏도 이쁘고 색감도 괜찮아요 옷은 생각보다 무겁네요,"['색감', '무겁다', '핏']","['무겁다', '색감', '핏']","['무겁다', '핏', '색감']","['무겁다', '색감']",,"색감,   무겁다,   핏","색감, 무겁다, 핏"
적당한 두께감에 적당한 오버핏이라 데일리하게 입기 너무 좋아요!!,"['오버핏', '온', '데일리', '두께감', '적당하다']","['적당하다', '데일리', '오버핏', '두께감']","['두께감', '오버핏', '데일리', '적당하다']","['적당하다', '데일리', '두께감', '오버핏']",,"오버핏,   데일리,   두께감,   적당하다","오버핏, 데일리, 두께감, 적당하다"
기본적으로 하나씩은 가지고 있어야할 아이템~ 어디에나 무난하게  어울려서 좋와요 색이 빠질수록 더 좋음 번창하세요,"['번창', '어울리다', '가지', '기본', '무난', '하나씩', '색', '빠지다', '아이템']","['번창', '하나', '어울리다', '기본', '무난', '가지', '색', '아이템']","['색', '아이템', '빠지다', '번창', '하나', '씩', '기본', '가지']","['번창', '가지', '아이템', '에나', '하나', '기본', '빠지다', '어울리다', '무난']",,"번창,   가지,   기본,   아이템,   어울리다,   무난,   색,   빠지다,   하나","기본, 아이템, 무난, 어울리다, 색"
오버핏에 멋스러운 스타일이에요. 약간 빈티지한 색감도 좋아요. 스타일도 멋스러워요,"['오버핏', '빈티지', '온', '스타일', '색감']","['스타일', '스타일', '빈티', '색감', '오버핏', '멋스럽다', '멋']","['스타일', '멋', '스럽다', '오버핏', '스러운', '빈티', '지', '색감']","['스타일', '스러운', '스럽다', '이에요', '빈티', '오버핏', '색감']",,"스타일,  오버핏,   색감,   빈티","오버핏, 스타일, 빈티지, 색감"
"178/58

멸치에게 L사이즈 사면 혹여나 너무 크지 않을까? 조금 걱정했지만 허리도 딱 맞도 버뮤다팬츠로써 딱 예쁜 핏 나와서 너무 마음에 들어요

키가 저랑 비슷하다면 사이즈 L로 가시길 추천 합니다.","['크다', '허리', '핏', '맞다', '멸치', '사이즈', '키', 'l', '버뮤다팬츠']","['버뮤다팬츠', '멸치', '추천', '사이즈', '나오다', '갈다', '허리']","['사이즈', '크다', '추천', '멸치', '허리', '맞다', '걱정']","['멸치', '사면', '사이즈', '갈다', '걱정', '추천', '나오다', '맞다', '팬츠', '허리']",,"허리,   멸치,   사이즈,   맞다,   추천","허리, 멸치, 사이즈, 맞다, 추천"
바다에 빠지는 바람에 모양새가 이쁘진않지만 기장이 적당히 길어서 핏이 너무 예뻐요 처음에 배송왔을때는 잘산건가 싶었는ㄷㅔ 입고보니까 너무 좋아서 교복마냥 입고 있습니다 굿,"['굿', '핏', '바다', '처음', '건가', '배송', '적당하다', '모양새', '산', '오다', '빠지다', '보', '기장', '교복처럼']","['적당하다', '기장', '교복', '배송', '건가', '처음', '바다']","['교복', '처럼', '모양새', '바람', '바다', '보']","['모양새', '바다', '건가', '바람', '빠지다', '교복', '처럼', '배송', '처음', '오다']",,"바다,   교복,   처음,   건가,   배송,   모양새","기장, 길다, 핏, 교복"
"여름에 더워서 청바지나 데님팬츠 같은 긴바지를 못 입어서 걱정 했는데 딱 이바지를 발견해서 바로 주문 했는데 4일안에 오더라고요. 입었는데 진짜 여름 인생바지 감탄 나온만큼 핏도 이쁘고 사이즈도 적당합니다.결론부터 말하자면 그냥 최고입니다. 제 반바지중에 top1에 드만큼 정물 최고입니다.두깨감은 다른 반바지에 비해 좀 두꺼운편이지만 덥다는 느낌 전혀 안들어요. 가끔 이바지 입고 축구나 농구도 하러 다닙니다. 제가 허박지가 좀 두꺼워서 다른 반바지를 입으면 좀 다리가 통통해 보이는데 이바지는 오버핏으러 나와서 이점을 해결해줘서 너무 좋습니다. 진짜 길이 완벽,통 완벽,디자인도 무난해서 어느 코디든 다 잘 어울립니다.재질이 좋아서 세탁 많이 해도 늘어나지 않고 처음 배송 온것처럼 똑같습니다.진짜 여름 인생 반바지네요.","['오버핏', '이바지', '완벽', '다리', '배송', '재질', '무난', '바지', '통', '두께', '디자인', '늘어나다', '팬츠', '농구', '사이즈', '가끔', '코디', '여름', '덥다', '반바지', '호박지', '세탁', '인생', '전혀', '청바지', '축구', '똑같다']","['발견', '오다', '인생', '말', '사이즈', '무난', '디자인', '적당하다', '전혀']","['반바지', '바지', '청바지', '덥다', '이바지', '농구']","['반바지', '완벽', '이바지', '인생', '최고', '여름', '나오다', '덥다', '두껍다', '발견']",,"인생,   반바지,   덥다,   이바지","인생, 반바지, 덥다, 여름, 최고, 두께감, 오버핏"
키 작고 다리가 굵어서 안 어울려요!! 근데 바지는 이쁨,"['다리', '어울림', '굵다', '키', '작다', '바지']","['어울리다', '바지', '다리', '작고', '굵다']","['어울리다', '작고', '바지', '굵다', '다리']","['작고', '굵다', '근데', '다리', '어울리다', '바지']", 바지,"다리,   굵다,   바지,   어울리다,   작고","다리, 굵다, 바지"
좋습니다 핏도 이쁘고 맘에들어요 추천합니당.!! 좋아요오오,"['추천', '핏', '오']","['추천', '핏']","['추천', '핏']",['추천'],,"추천,   핏","핏, 추천"
생각보다 두툼한데 오히려 좋아요!! 기장도 적당하고 잘입고 다닐거 같아용,"['툼', '기장', '적당']","['적당하다', '기장', '두툼']","['두툼', '적당하다', '기장']","['두툼', '적당하다', '기장']",,"기장,   적당하다,   두툼","기장, 적당하다, 두툼"
사이즈도 잘 맞고 반바지라 시원하고 활동성 좋고 편해요 교복처럼 입고 있어요,"['반바지', '시원', '편하다', '교복', '사이즈', '활동성']","['교복', '시원하다', '편하다', '활동', '사이즈', '반바지', '맞다']","['반바지', '교복', '처럼', '편하다', '맞다', '시원하다', '사이즈', '활동', '성']","['활동', '처럼', '교복', '맞다', '시원하다', '반바지', '사이즈', '편하다']",,"반바지,   편하다,   교복,   사이즈,   시원하다,   활동,   맞다","반바지, 편하다, 교복, 사이즈, 시원하다, 활동, 맞다"
재질도 괜찮고 여름에 편하게 잘 입을 거 같아요 기본템으로 조아효,"['편하다', '재질', '기본', '여름']","['편하다', '재질', '여름', '기본']","['편하다', '여름', '재질', '기본']","['기본', '재질', '여름', '편하다']",,"편하다,   재질,   기본,   여름","편하다, 재질, 기본, 여름"
이런 스타일의 바지를 입어보고 싶어서 구매 했는데 너무 마음에 들었고요 약간 두꺼운 느낌이 있어서 한여름에는 입기에 더울것 같아요 몇번 빨았는데도 보풀이 안일어나는걸 보니 재질이 좋은것 같아요 근데 약간 무개감이 있어요 위에 상의를 오버핏으로 입으면 귀엽더라구요 특히 후드티를 입으면 짱이쁨니다,"['번', '오버핏', '일어나다', '온', '재질', '위', '바지', '한여름', '무게', '후드티', '빨다', '보풀', '덥다', '스타일', '짱', '걸', '두껍다', '귀엽다', '상의']","['스타일', '상의', '입어보다', '무게', '보풀', '재질', '일어나다', '이렇다']","['무게', '바지', '스타일', '덥다', '귀엽다']","['빨다', '오버핏', '특히', '일어나다', '후드', '무게', '보풀', '상의', '에는', '이렇다']",,"무게,   일어나다,   보풀,   스타일,   상의","무게, 일어나다, 보풀, 스타일, 상의, 바지, 스타일, 덥다, 두껍다, 재질"
"요즘같은 날씨, 더위때문에 편하지만 포인트를 줄 수 있는 코디로 연출해봤습니다. 번외코디로 오버핏 반팔과 긴 발목양말을 같이 신으면 농구선수같은 느낌으로 귀엽게 입을 수도 있어요!","['오버핏', '번외', '편하다', '농구선수', '포인트', '귀엽다', '팔', '코디', '발목', '연출', '양말']","['연출', '농구선수', '날씨', '신다', '포인트', '편하다', '코디', '팔']","['농구', '선수', '편하다', '귀엽다', '포인트', '팔']","['코디', '발목', '번외', '신다', '더위', '선수', '양말', '포인트', '때문', '연출']",,"포인트,   연출,   편하다,   팔,   코디","포인트, 연출, 편하다, 코디"
"편해보이고 품질도 좋아보입니다!
사알짝 두꺼운것같긴하지만 괜찮은 정도인 것 같습니다.","['편하다', '보이', '품질', '두껍다']","['보이다', '품질', '보이', '편하다', '두껍다']","['품질', '편하다', '보이다', '보이', '두껍다']","['품질', '보이', '보이다', '두껍다', '편하다']",,"편하다,   보이,   품질,   두껍다,   보이다","편하다, 품질, 두껍다"
여름에 입기 좋아여! 안에 매쉬가 있어 땀도 잘 마를듯,"['매다', '땀', '여름', '마르다']","['매다', '마르다', '여름', '땀']","['여름', '매다', '마르다', '땀']","['마르다', '매다', '여름']",,"매다,   여름,   마르다,   땀","여름, 매쉬, 땀, 마르다"
너무 이뻐요 제가 생각하던 핏이에요! 여름에 많이 입을듯요 ㅎㅎ,"['여름', '핏']","['여름', '핏']","['여름', '핏']","['이에요', '여름']",,"여름,   핏","여름, 핏"
저는 목쪽이 살짝 붕 뜨네요.. 왜이러지.. 이 부분은 아쉽지만 이뻐요,"['붕', '부분', '목', '아쉽다']","['이르다', '부분', '쪽', '아쉽다']","['아쉽다', '이르다', '쪽', '부분']","['이르다', '부분', '아쉽다']", 부분,"부분,   아쉽다,   이르다","아쉽다, 뜨다, 목"
프린팅에 매혹되어 그냥 바로 구매하게 되었습니다. 티의 두께는 얇은편이지만 비침이 없구 부드러운 소재입니다. 목의 시보리가 살짝 약해보이고 실제로 빨았을때 조금 늘어나는 부분이 있었습니다. 하지만 프린팅이 정말 예쁘고 여자친구가 탐내하는 티입니다. 강추 개추 드리겠습니다.,"['프린팅', '두께', '비침', '늘어나다', '개추', '강추', '소재', '여자친구', '시보리', '매혹', '티']","['여자친구', '소재', '비침', '편이', '개추', '티', '강추', '부드럽다', '부분']","['티', '부드럽다', '소재', '얇다', '목', '프린팅', '강추']","['되어다', '개추', '약하다', '매혹', '시보리', '실제', '빨다', '강추', '소재', '편이']"," 강추,  소재","강추,   소재,   티,   개추","강추, 소재, 티, 개추, 프린팅, 두께, 얇다, 부드럽다, 시보리"
166 여성인데 s 주문해도 살짝 커요. 그래도 오버핏으로 생각하고 입으려구용! 너무 예쁘걸랑요,"['크다', 's', '오버핏', '걸', '온', '여성']","['여성', '구', '크다', '주문', '걸', '오버핏']","['걸', '구', '여성', '오버핏', '주문', '크다']","['여성', '주문', '인데', '하고', '오버핏', '크다']",,"크다,  오버핏,   여성,   걸,   주문","크다, 오버핏, 여성,주문"
평범한 면티지만 이쁩니다~ 맘에 쏙 듭니다. 잘 입겠습니다^^,"['쏙', '평범하다', '티']","['평범하다', '티']","['티', '평범하다']",['평범하다'],,"평범하다,   티","평범하다, 티"
옷 질이 좋고 프린팅이 이뻐서 만족 합니다 가격도 나름 싸고 좋은 거 같아요,"['프린팅', '가격', '질', '싸다', '나름', '만족']","['만족하다', '프린팅', '가격', '싸다', '질', '나름']","['만족하다', '프린팅', '싸다', '나름', '질', '가격']","['나름', '싸다', '만족하다', '가격', '프린팅']", 프린팅,"프린팅,   가격,   싸다,   나름,   질,   만족하다","프린팅, 가격, 싸다, 질, 만족하다"
메종미네드 정말 좋아하는데 프린팅 너무 예쁘게 나와서 좋네요 강추합니다,"['프린팅', '메종미네드', '나오다', '강추']","['메종미네드', '강추', '프린팅', '나오다', '좋아하다']","['좋아하다', '메종', '미네', '드', '강추', '나오다', '프린팅']","['강추', '좋아하다', '나오다', '메종', '미네', '프린팅']",,"프린팅,   나오다,   강추,   좋아하다","프린팅, 강추, 좋아하다"
제품이 마음에 들어요 색상과 디자인도 마음에 듭니다. 사업 번창 하세요,"['번창', '디자인', '색상', '사업', '제품']","['번창', '색상', '디자인', '사업', '제품']","['번창', '색상', '사업', '디자인', '제품']","['사업', '번창', '색상', '제품', '디자인']"," 색상,  디자인","번창,   디자인,   색상,   사업,   제품","색상, 디자인, 제품"
옷 대박 예뻐요 적당히 꾸민 느낌이라 손 자주가는 티 중에 하나~,"['하나', '꾸미다', '가다', '손', '적당하다', '티', '대박']","['적당하다', '가다', '대박', '하나', '중', '꾸미다']","['적당하다', '하나', '꾸미다', '가다', '대박']","['대박', '꾸미다', '하나', '가다', '적당하다']"," 꾸미다,  가다","하나,   꾸미다,   가다,   적당하다,   대박","적당하다, 꾸미다, 티, 대박"
버뮤다랑 데님에 입기 좋습니다!! 로고가 너무 예뻐서 계속 입고 싶어요!!,"['계속', '버뮤다', '데님', '로고']","['버뮤다', '로고', '데님', '싶다', '계속']","['데님', '버뮤다', '로고', '계속']","['데님', '계속', '로고', '버뮤다']",,"계속,   버뮤다,   데님,   로고","버뮤다, 데님, 로고"
너무 많이 입고다녀서 그냥 잠옷으로 입고있습니다 홈플러스만 가도 두 명씩은 마주침,"['그냥', '홈플러스', '마주치다', '잠옷', '명']","['마주치다', '홈플러스', '명', '가도', '잠옷']","['홈플러스', '명', '씩', '가도', '잠옷', '그냥', '마주치다']","['잠옷', '가도', '홈플러스', '마주치다', '그냥']",,"홈플러스,   마주치다,   잠옷,   그냥,   명,   가도",잠옷
이뻐요 그냥 사세요 로고가 포인트주기 참 좋습니다,"['그냥', '로고', '주기', '포인트', '차다']","['포인트', '로고', '주기', '그냥']","['그냥', '로고', '주기', '포인트']","['차다', '주기', '로고', '그냥', '포인트']",,"그냥,   로고,   주기,   포인트","로고, 포인트"
너무 얇은 느낌인지라 몇 번 빨고 나니 핏을 유지하는 느낌이 많이 사라졌습니다,['얇다'],"['유지', '나니', '핏', '얇다', '사라지다', '인지']","['사라지다', '인지', '얇다', '핏', '유지', '나니']","['사라지다', '나니', '인지', '유지', '얇다']",,"얇다,   유지,   나니,   사라지다,   인지","얇다, 핏, 사라지다, 유지"
사이즈도 적당하게 맞고 핏도 좋아요 예뻐서 자주 입어요,"['사이즈', '핏', '적당']","['적당하다', '사이즈', '핏', '맞다']","['적당하다', '핏', '맞다', '사이즈']","['맞다', '적당하다', '사이즈']",,"사이즈,   핏,   적당하다,   맞다","사이즈, 핏, 적당하다, 맞다"
재질 이빠이 좋고 진짜 얇아서 가볍고 이쁘고 완벽해요..,"['완벽하다', '가득', '재질', '가볍다', '얇다']","['완벽하다', '가볍다', '재질', '가득', '얇다']","['가볍다', '얇다', '완벽하다', '가득', '재질']","['가득', '완벽하다', '가볍다', '얇다', '재질']"," 얇다,  재질","완벽하다,   가득,   재질,   가볍다,   얇다","재질, 얇다, 가볍다, 완벽하다"
그래픽이 상당히 이쁘고 핏도 좋습니다 두꼐감은 그렇게 두껍진 않아서 더울거 같진 않습니다.,"['그래픽', '두께감', '두껍다', '핏']","['상당하다', '그래픽', '덥다', '핏', '두께감', '두껍다']","['그래픽', '덥다', '두껍다', '상당하다', '핏', '두께감', '그렇게']","['상당하다', '그렇게', '덥다', '두께감', '두껍다', '그래픽']",,"그래픽,   두께감,   두껍다,   핏,   상당하다,   덥다","그래픽, 핏, 두께감, 두껍지 않다, 상당하다"
디자인이 마음에 들어요 외출할때 입기 좋을것 같아요,"['디자인', '외출']","['디자인', '외출']","['외출', '디자인']","['외출', '디자인']",,"디자인,   외출","디자인, 외출"
"색감 사진과 같이 흐리멍텅한 느낌 너무 좋고, 로고 너무 디테일 해서 좋아요. 사이즈 정 사이즈인갓 같고 두께감 좋아서 시원해요","['시원', '갓', '사진', '흐리다멍덩', '로고', '디테일', '사이즈', '두께감', '색감', '정']","['디테일해', '시원하다', '흐리다멍덩', '사이즈', '사진', '사이즈', '색감', '로고']","['색감', '사이즈', '흐리다', '멍덩', '디테', '일해', '사진', '시원하다']","['일해', '멍덩', '흐리다', '사이즈', '디테', '로고', '두께감', '사진', '시원하다', '색감']"," 사진,  사이즈","사이즈,   색감,   사진,   시원하다,   로고","사이즈, 색감, 사진, 시원하다, 로고"
진짜 이뻐요! 앞 프린팅과 뒤에 텍이 바깥으로 나온 디테일이 간지네요,"['프린팅', '텍', '디테일']","['프린팅', '디테일이', '간지', '텍', '나오다', '바깥', '뒤']","['바깥', '간지', '디테', '일이', '나오다', '뒤', '텍', '프린팅']","['바깥', '간지', '일이', '디테', '나오다', '프린팅']",,"프린팅,   텍,   간지,   나오다,   바깥","프린팅, 텍, 간지, 디테일, 나오다, 바깥"
믿고 사는 브라운브레스 기본티 입니다. 레터링 티셔츠의 정석이죠!,"['브라운브레스', '기본', '정석', '레터링', '티셔츠', '티']","['정석', '티셔츠', '레터링', '브라운브레스', '티', '살다', '기본', '믿다']","['티셔츠', '브라운', '브레스', '티', '정석', '죠', '믿다', '살다', '레터', '링', '기본']","['정석', '레터', '믿다', '살다', '기본', '티셔츠', '브레스', '브라운']",,"기본,   정석,   티셔츠,   티,   살다,   믿다","기본, 티셔츠, 레터링, 정석"
커플티로 입었는데 예뻤어요 ! 사이즈는 m하니까 딱 맞았고 생각보다 얇긴한데 여름애 시원하게 입기 좋았습니다,"['m', '시원하다', '맞다', '사이즈', '여름', '얇다', '커플티']","['커플티', '여름', '시원하다', '사이즈']","['사이즈', '여름', '얇다', '맞다', '시원하다']","['커플티', '시원하다', '여름', '얇다', '맞다', '사이즈']",,"시원하다,   사이즈,   여름,   맞다,   얇다,   커플티","시원하다, 사이즈, 여름, 맞다, 얇다, 커플티"
제가 말랐는데도 이쁘고 여름에 입기 딱좋은거같아요,"['여름', '마르다']","['여름', '마르다']","['여름', '마르다']","['마르다', '여름']",,"여름,   마르다","여름, 마르다"
옷 너무 예쁘고 다음에도 이 브랜드에서 살거같아요,"['브랜드', '살']",['브랜드'],['브랜드'],['브랜드'],브랜드,브랜드,브랜드
